,index,tournament_type,name,location,date,url,matches_downloaded
0,0,World Tour Gold,CIB Black Ball Open (W),"Cairo, Egypt",12 Dec 2020,http://www.squashinfo.com/events/8588-womens-black-ball-open-2020,True
1,1,Challenger Tour 5,Pakistan International Championship (W),"Islamabad, Pakistan",11 Dec 2020,http://www.squashinfo.com/events/8605-womens-pakistan-international-championship-2020,True
2,2,Challenger Tour 10,Sihltal Classic (W),"Langnau am Albis, Switzerland",6 Dec 2020,http://www.squashinfo.com/events/8604-womens-sihltal-classic-2020,True
3,3,Challenger Tour 5,BISL International (W),"Quetta, Pakistan",28 Nov 2020,http://www.squashinfo.com/events/8595-womens-bisl-international-2020,True
4,4,Challenger Tour 10,Liechtenstein Open (W),"Vaduz, Liechtenstein",22 Nov 2020,http://www.squashinfo.com/events/8589-womens-liechtenstein-open-2020,True
5,5,World Tour Platinum,CIB Egyptian Open (W),"Giza, Egypt",17 Oct 2020,http://www.squashinfo.com/events/8565-womens-egyptian-open-2020,True
6,6,World Tour Finals,CIB PSA World Tour Finals (W),"6th of October City, Egypt",3 Oct 2020,http://www.squashinfo.com/events/8563-womens-world-tour-finals-2020,True
7,7,World Tour Silver,Manchester Open (W),"Manchester, England",22 Sep 2020,http://www.squashinfo.com/events/8561-womens-manchester-open-2020,True
8,8,Challenger Tour 20,Queen City Open (W),"Regina, Canada",15 Mar 2020,http://www.squashinfo.com/events/8545-womens-queen-city-open-2020,True
9,9,World Tour Platinum,CIB Black Ball Open (W),"Cairo, Egypt",14 Mar 2020,http://www.squashinfo.com/events/8390-womens-black-ball-open-2020,True
10,10,Challenger Tour 20,CFO Consulting Services PSA Calgary Squash Week Open (W),"Calgary, Canada",8 Mar 2020,http://www.squashinfo.com/events/8538-womens-calgary-squash-week-open-2020,True
11,11,World Tour Platinum,Windy City Open presented by the Walter Family (W),"Chicago, USA",4 Mar 2020,http://www.squashinfo.com/events/8388-womens-windy-city-open-2020,True
12,12,Challenger Tour 5,Egyptian Tour No4 (W),"Alexandria, Egypt",28 Feb 2020,http://www.squashinfo.com/events/8534-womens-egyptian-tour-2020,True
13,13,World Tour Bronze,Bahl & Gaynor Cincinnati Cup (W),"Cincinnati, Ohio, USA",24 Feb 2020,http://www.squashinfo.com/events/8385-womens-cincinnati-cup-2020,True
14,14,Challenger Tour 20,Racquet Club Pro Series (W),"St Louis, Missouri, USA",8 Feb 2020,http://www.squashinfo.com/events/8459-womens-racquet-club-pro-series-2020,True
15,15,World Tour Bronze,Cleveland Classic (W),"Cleveland, Ohio, USA",3 Feb 2020,http://www.squashinfo.com/events/8381-womens-cleveland-classic-2020,True
16,16,Challenger Tour 20,Edinburgh Sports Club Open (W),"Edinburgh, Scotland",2 Feb 2020,http://www.squashinfo.com/events/8451-womens-edinburgh-sports-club-open-2020,True
17,17,Challenger Tour 10,EM Noll Classic (W),"Philadelphia, USA",2 Feb 2020,http://www.squashinfo.com/events/8454-womens-em-noll-classic-2020,True
18,18,Challenger Tour 10,Savcor Finnish Open (W),"Mikkeli, Finland",2 Feb 2020,http://www.squashinfo.com/events/8452-womens-finnish-open-2020,True
19,19,Challenger Tour 10,SRFI Indian Tour Jaipur Leg (W),"Jaipur, India",2 Feb 2020,http://www.squashinfo.com/events/8456-womens-srfi-indian-tour-2020,True
20,0,Challenger Tour 10,Seattle Open (W),"Seattle, USA",1 Feb 2020,http://www.squashinfo.com/events/8450-womens-seattle-open-2020,True
21,1,World Tour Bronze,Carol Weymuller Open (W),"New York, USA",27 Jan 2020,http://www.squashinfo.com/events/8380-womens-carol-weymuller-open-2020,True
22,2,World Tour Platinum,JP Morgan Tournament of Champions (W),"New York, USA",17 Jan 2020,http://www.squashinfo.com/events/8368-womens-tournament-of-champions-2020,True
23,3,Challenger Tour 5,CIB Egyptian Tour (W),"Nasr City, Egypt",27 Dec 2019,http://www.squashinfo.com/events/8377-womens-egyptian-tour-2019,True
24,4,Challenger Tour 10,SRFI Indian Tour Mumbai Leg (W),"Mumbai, India",21 Dec 2019,http://www.squashinfo.com/events/8374-womens-srfi-indian-tour-2019,True
25,5,Challenger Tour 10,Serena Hotels-Huawei Pakistan International Championship (W),"Islamabad, Pakistan",19 Dec 2019,http://www.squashinfo.com/events/8370-womens-pakistan-international-championship-2019,True
26,6,Challenger Tour 20,Monte Carlo Classic (W),"Monte Carlo, Monaco",13 Dec 2019,http://www.squashinfo.com/events/8361-womens-monte-carlo-classic-2019,True
27,7,Challenger Tour 5,Chongqing International Classic (W),"Chongqing, China",1 Dec 2019,http://www.squashinfo.com/events/8352-womens-chongqing-international-classic-2019,True
28,8,Challenger Tour 5,Capra Baerum Open (W),"Lysaker, Norway",24 Nov 2019,http://www.squashinfo.com/events/8345-womens-capra-baerum-open-2019,True
29,9,Challenger Tour 10,London Open (W),"London, England",24 Nov 2019,http://www.squashinfo.com/events/8340-womens-london-open-2019,True
30,10,Challenger Tour 5,Val de Marne Open (W),"Creteil, France",16 Nov 2019,http://www.squashinfo.com/events/8330-womens-val-de-marne-open-2019,True
31,11,Challenger Tour 5,Pacific Toyota Cairns International (W),"Cairns, Australia",10 Nov 2019,http://www.squashinfo.com/events/8329-womens-cairns-international-2019,True
32,12,Challenger Tour 30,Detroit Pro Classic (W),"Detroit, USA",9 Nov 2019,http://www.squashinfo.com/events/8326-womens-detroit-pro-classic-2019,True
33,13,Challenger Tour 10,JC Open (W),"Ottawa, Canada",3 Nov 2019,http://www.squashinfo.com/events/8319-womens-jc-open-2019,True
34,14,Challenger Tour 5,Queensland Open (W),"Brisbane, Australia",3 Nov 2019,http://www.squashinfo.com/events/8321-womens-queensland-open-2019,True
35,15,World Championship,CIB PSA World Championship (W),"Giza, Egypt",1 Nov 2019,http://www.squashinfo.com/events/8068-womens-world-championship-2019,True
36,16,Challenger Tour 10,SRFI Indian Tour Chennai Leg (W),"Chennai, India",17 Oct 2019,http://www.squashinfo.com/events/8310-womens-srfi-indian-tour-2019,True
37,17,World Tour Platinum,FS Investments US Open (W),"Philadelphia, USA",12 Oct 2019,http://www.squashinfo.com/events/8307-womens-us-open-2019,True
38,18,Challenger Tour 5,CIB Port Said Egyptian Tour (W),"Port Said, Egypt",6 Oct 2019,http://www.squashinfo.com/events/8305-womens-egyptian-tour-2019,True
39,19,World Tour Gold,Oracle NetSuite Open (W),"San Francisco, USA",30 Sep 2019,http://www.squashinfo.com/events/8288-womens-netsuite-open-2019,True
40,0,Challenger Tour 5,Haining Open (W),"Haining, China",29 Sep 2019,http://www.squashinfo.com/events/8302-womens-haining-open-2019,True
41,1,Challenger Tour 20,Malaysian Open (W),"Kuala Lumpur, Malaysia",29 Sep 2019,http://www.squashinfo.com/events/8297-womens-malaysian-open-2019,True
42,2,Challenger Tour 5,Aspin Cup (W),"Charlottetown, Canada",28 Sep 2019,http://www.squashinfo.com/events/8299-womens-aspin-cup-2019,True
43,3,Challenger Tour 5,China Suqian International Classic (W),"Suqian, China",22 Sep 2019,http://www.squashinfo.com/events/8293-womens-china-suqian-international-classic-2019,True
44,4,Challenger Tour 20,NASH Cup (W),"London, Ontario, Canada",21 Sep 2019,http://www.squashinfo.com/events/8286-womens-nash-cup-2019,True
45,5,Challenger Tour 30,PSA HKFC International (W),"Happy Valley, Hong Kong",14 Sep 2019,http://www.squashinfo.com/events/8283-womens-hkfc-international-2019,True
46,6,World Tour Silver,Open de France Nantes 2019 presented by Tailor Capital (W),"Nantes, France",14 Sep 2019,http://www.squashinfo.com/events/8281-womens-open-de-france-2019,True
47,7,World Tour Gold,JP Morgan China Open (W),"Shanghai, China",8 Sep 2019,http://www.squashinfo.com/events/8277-womens-china-open-2019,True
48,8,Challenger Tour 10,Copa Produbanco PSA Quito-Arrayanes Open (W),"Quito, Ecuador",7 Sep 2019,http://www.squashinfo.com/events/8279-womens-quito-arrayanes-open-2019,True
49,9,Challenger Tour 5,CIB El Shams Egyptian Tour (W),"Heliopolis, Cairo, Egypt",6 Sep 2019,http://www.squashinfo.com/events/8275-womens-egyptian-tour-2019,True
50,10,Challenger Tour 5,Squash Melbourne Open (W),"Melbourne, Australia",1 Sep 2019,http://www.squashinfo.com/events/8251-womens-squash-melbourne-open-2019,True
51,11,Challenger Tour 5,Pakistan Circuit No1 (W),"Islamabad, Pakistan",30 Aug 2019,http://www.squashinfo.com/events/8243-womens-pakistan-circuit-no1-2019,True
52,12,Challenger Tour 5,SRFI Indian Tour Delhi Leg (W),"Greater Noida, India",27 Aug 2019,http://www.squashinfo.com/events/8239-womens-srfi-indian-tour-2019,True
53,13,Challenger Tour 5,Roberts & Morrow North Coast Open (W),"Coffs Harbour, NSW, Australia",25 Aug 2019,http://www.squashinfo.com/events/8237-womens-north-coast-open-2019,True
54,14,Challenger Tour 5,Steel City South Australian Open (W),"Whyalla, SA, Australia",11 Aug 2019,http://www.squashinfo.com/events/8234-womens-south-australian-open-2019,True
55,15,Challenger Tour 5,MTC Squash Russian Open (W),"Moscow, Russia",10 Aug 2019,http://www.squashinfo.com/events/8232-womens-russian-open-2019,True
56,16,Challenger Tour 5,Growthpoint South African Open (W),"Cape Town, South Africa",10 Aug 2019,http://www.squashinfo.com/events/8229-womens-south-african-open-2019,True
57,17,Challenger Tour 5,City of Greater Bendigo International (W),"Bendigo, Victoria, Australia",4 Aug 2019,http://www.squashinfo.com/events/8226-womens-bendigo-international-2019,True
58,18,Challenger Tour 10,Australian Open (W),"Bega, NSW, Australia",7 Jul 2019,http://www.squashinfo.com/events/8193-womens-australian-open-2019,True
59,19,World Tour Finals,CIB PSA World Tour Finals (W),"6th of October City, Egypt",14 Jun 2019,http://www.squashinfo.com/events/8168-womens-world-tour-finals-2019,True
60,0,Challenger Tour 5,Grand Sport Armenian Challenger (W),"Yerevan, Armenia",9 Jun 2019,http://www.squashinfo.com/events/8166-womens-armenian-challenger-2019,True
61,1,Challenger Tour 5,Inspirenet New Zealand International Classic (W),"Palmerston North, New Zealand",9 Jun 2019,http://www.squashinfo.com/events/8165-womens-new-zealand-international-classic-2019,True
62,2,Challenger Tour 5,City of Kalgoorlie Golden Open (W),"Kalgoorlie, WA, Australia",3 Jun 2019,http://www.squashinfo.com/events/8162-womens-golden-open-2019,True
63,3,World Tour Platinum,Allam British Open (W),"Hull, England",26 May 2019,http://www.squashinfo.com/events/7984-womens-british-open-2019,True
64,4,Challenger Tour 5,Open International des Volcans (W),"Clermont-Ferrand, France",26 May 2019,http://www.squashinfo.com/events/8138-womens-open-international-des-volcans-2019,True
65,5,Challenger Tour 5,Harneys British Virgin Islands Open (W),"Tortola, British Virgin Islands",18 May 2019,http://www.squashinfo.com/events/8135-womens-british-virgin-islands-open-2019,True
66,6,World Tour Silver,Manchester Open (W),"Manchester, England",13 May 2019,http://www.squashinfo.com/events/8129-womens-manchester-open-2019,True
67,7,Challenger Tour 5,Squash MS Sandgate Open (W),"Deagon, Queensland, Australia",6 May 2019,http://www.squashinfo.com/events/8125-womens-sandgate-open-2019,True
68,8,Challenger Tour 5,Keith Grainger Memorial UCT Open (W),"Cape Town, South Africa",3 May 2019,http://www.squashinfo.com/events/8115-womens-uct-open-2019,True
69,9,Challenger Tour 5,Bourbon Trail Event No4 (W),"Chattanooga, USA",27 Apr 2019,http://www.squashinfo.com/events/8111-womens-bourbon-trail-event-2019,True
70,10,Challenger Tour 20,Cannon Kirk Irish Open (W),"Dublin, Ireland",27 Apr 2019,http://www.squashinfo.com/events/8108-womens-irish-open-2019,True
71,11,World Tour Platinum,El Gouna International Open (W),"El Gouna, Egypt",26 Apr 2019,http://www.squashinfo.com/events/7981-womens-el-gouna-international-open-2019,True
72,12,Challenger Tour 5,Johannesburg Open (W),"Johannesburg, South Africa",26 Apr 2019,http://www.squashinfo.com/events/8106-womens-johannesburg-open-2019,True
73,13,Challenger Tour 5,SRAM PSA 2 (W),"Kuala Lumpur, Malaysia",26 Apr 2019,http://www.squashinfo.com/events/8110-womens-sram-psa-2-2019,True
74,14,World Tour Gold,DPD Open (W),"Eindhoven, Netherlands",14 Apr 2019,http://www.squashinfo.com/events/7977-womens-dpd-open-2019,True
75,15,World Tour Bronze,Macau Open (W),"Taipa, Macau",14 Apr 2019,http://www.squashinfo.com/events/7979-womens-macau-open-2019,True
76,16,Challenger Tour 10,Richmond Open (W),"Richmond, USA",13 Apr 2019,http://www.squashinfo.com/events/8099-womens-richmond-open-2019,True
77,17,Challenger Tour 10,Springfield Scottish Open (W),"Edinburgh, Scotland",7 Apr 2019,http://www.squashinfo.com/events/8093-womens-scottish-open-2019,True
78,18,Challenger Tour 5,SRAM PSA 1 (W),"Kuala Lumpur, Malaysia",7 Apr 2019,http://www.squashinfo.com/events/8104-womens-sram-psa-1-2019,True
79,19,Challenger Tour 20,Racquet Club Pro Series (W),"St Louis, Missouri, USA",6 Apr 2019,http://www.squashinfo.com/events/8094-womens-racquet-club-pro-series-2019,True
80,0,Challenger Tour 10,Serena Hotels Pakistan International Championship (W),"Islamabad, Pakistan",5 Apr 2019,http://www.squashinfo.com/events/8091-womens-pakistan-international-championship-2019,True
81,1,Challenger Tour 10,Courtcare Northern Open (W),"Manchester, England",31 Mar 2019,http://www.squashinfo.com/events/8084-womens-northern-open-2019,True
82,2,World Tour Bronze,J Warren Young Memorial Texas Open (W),"Dallas, USA",31 Mar 2019,http://www.squashinfo.com/events/8083-womens-texas-open-2019,True
83,3,Challenger Tour 10,Slaight Music Granite Open (W),"Toronto, Canada",28 Mar 2019,http://www.squashinfo.com/events/8082-womens-granite-open-2019,True
84,4,Challenger Tour 5,Cronimet Swedish Open (W),"Skellefteå, Sweden",24 Mar 2019,http://www.squashinfo.com/events/8080-womens-swedish-open-2019,True
85,5,Challenger Tour 10,Annecy Open (W),"Seynod, France",17 Mar 2019,http://www.squashinfo.com/events/8073-womens-annecy-open-2019,True
86,6,Challenger Tour 20,Queen City Open (W),"Regina, Canada",17 Mar 2019,http://www.squashinfo.com/events/8074-womens-queen-city-open-2019,True
87,7,World Tour Gold,CIB Black Ball Open (W),"Cairo, Egypt",15 Mar 2019,http://www.squashinfo.com/events/7974-womens-black-ball-open-2019,True
88,8,Challenger Tour 20,CFO Consulting Services PSA Calgary Squash Week Open (W),"Calgary, Canada",10 Mar 2019,http://www.squashinfo.com/events/8070-womens-calgary-squash-week-open-2019,True
89,9,Challenger Tour 5,Bermuda Open (W),"Devonshire, Bermuda",8 Mar 2019,http://www.squashinfo.com/events/8067-womens-bermuda-open-2019,True
90,10,World Championship,2018/2019 PSA World Championship (W),"Chicago, USA",2 Mar 2019,http://www.squashinfo.com/events/7971-womens-world-championship-2019,True
91,11,Challenger Tour 10,EM Noll Classic (W),"Philadelphia, USA",18 Feb 2019,http://www.squashinfo.com/events/8034-womens-em-noll-classic-2019,True
92,12,Challenger Tour 30,Bahl & Gaynor Cincinnati Cup (W),"Cincinnati, Ohio, USA",10 Feb 2019,http://www.squashinfo.com/events/8014-womens-cincinnati-cup-2019,True
93,13,World Tour Bronze,Cleveland Classic (W),"Cleveland, Ohio, USA",4 Feb 2019,http://www.squashinfo.com/events/7968-womens-cleveland-classic-2019,True
94,14,Challenger Tour 20,Edinburgh Sports Club Open (W),"Edinburgh, Scotland",3 Feb 2019,http://www.squashinfo.com/events/8009-womens-edinburgh-sports-club-open-2019,True
95,15,Challenger Tour 10,CSC Delaware Open (W),"Wilmington, Delaware, USA",27 Jan 2019,http://www.squashinfo.com/events/8000-womens-delaware-open-2019,True
96,16,World Tour Platinum,JP Morgan Tournament of Champions (W),"New York, USA",24 Jan 2019,http://www.squashinfo.com/events/7964-womens-tournament-of-champions-2019,True
97,17,Challenger Tour 5,Contrex HK Challenge Cup (W),Hong Kong,12 Jan 2019,http://www.squashinfo.com/events/7988-womens-hk-challenge-cup-2019,True
98,18,Challenger Tour 5,Remeo Open (W),"Helsinki, Finland",21 Dec 2018,http://www.squashinfo.com/events/7930-womens-remeo-open-2018,True
99,19,Challenger Tour 5,Internazionali D'Italia (W),"Riccione, Italy",16 Dec 2018,http://www.squashinfo.com/events/7931-womens-internazionali-ditalia-2018,True
100,0,Challenger Tour 10,London Open (W),"London, England",16 Dec 2018,http://www.squashinfo.com/events/7929-womens-london-open-2018,True
101,1,Challenger Tour 20,Monte Carlo Classic (W),"Monte Carlo, Monaco",7 Dec 2018,http://www.squashinfo.com/events/7918-womens-monte-carlo-classic-2018,True
102,2,Challenger Tour 20,Golootlo Pakistan Open (W),"Karachi, Pakistan",2 Dec 2018,http://www.squashinfo.com/events/7916-womens-pakistan-open-2018,True
103,3,Challenger Tour 5,Tecnifibre Singapore Open (W),Singapore,1 Dec 2018,http://www.squashinfo.com/events/7914-womens-singapore-open-2018,True
104,4,Challenger Tour 5,Val de Marne Open (W),"Creteil, France",1 Dec 2018,http://www.squashinfo.com/events/7915-womens-val-de-marne-open-2018,True
105,5,World Tour Platinum,Everbright Sun Hung Kai Hong Kong Open (W),Hong Kong,25 Nov 2018,http://www.squashinfo.com/events/7908-womens-hong-kong-open-2018,True
106,6,Challenger Tour 5,DHA Cup (W),"Karachi, Pakistan",24 Nov 2018,http://www.squashinfo.com/events/7912-womens-dha-cup-2018,True
107,7,Challenger Tour 5,PwC Open (W),"Frick, Switzerland",18 Nov 2018,http://www.squashinfo.com/events/7901-womens-pwc-open-2018,True
108,8,Challenger Tour 5,Rhode Island Open (W),"Providence, Rhode Island, USA",18 Nov 2018,http://www.squashinfo.com/events/7905-womens-rhode-island-open-2018,True
109,9,Challenger Tour 10,Alliance Fabricating Ltd Simon Warder Memorial Prostate Cancer Tournament (W),"Sarnia, Ontario, Canada",17 Nov 2018,http://www.squashinfo.com/events/7899-womens-simon-warder-memorial-prostate-cancer-tournament-2018,True
110,10,Challenger Tour 10,JC Open (W),"Ottawa, Canada",4 Nov 2018,http://www.squashinfo.com/events/7888-womens-jc-open-2018,True
111,11,Challenger Tour 10,CIB Wadi Degla Open (W),"Cairo, Egypt",2 Nov 2018,http://www.squashinfo.com/events/7886-womens-wadi-degla-open-2018,True
112,12,World Tour Bronze,Carol Weymuller Open (W),"New York, USA",22 Oct 2018,http://www.squashinfo.com/events/7869-womens-carol-weymuller-open-2018,True
113,13,Challenger Tour 5,Q Open (W),"Carrara, Queensland, Australia",21 Oct 2018,http://www.squashinfo.com/events/7871-womens-q-open-2018,True
114,14,Challenger Tour 5,Feleties Hotel International Championship (W),"Lahore, Pakistan",17 Oct 2018,http://www.squashinfo.com/events/7863-womens-feleties-hotel-international-championship-2018,True
115,15,World Tour Platinum,FS Investments US Open (W),"Philadelphia, USA",13 Oct 2018,http://www.squashinfo.com/events/7853-womens-us-open-2018,True
116,16,World Tour Silver,Oracle NetSuite Open (W),"San Francisco, USA",2 Oct 2018,http://www.squashinfo.com/events/7845-womens-netsuite-open-2018,True
117,17,Challenger Tour 20,NASH Cup (W),"London, Ontario, Canada",23 Sep 2018,http://www.squashinfo.com/events/7839-womens-nash-cup-2018,True
118,18,Challenger Tour 30,Queclink PSA HKFC International (W),"Happy Valley, Hong Kong",22 Sep 2018,http://www.squashinfo.com/events/7837-womens-hkfc-international-2018,True
119,19,Challenger Tour 10,Pakistan International Championship (W),"Islamabad, Pakistan",14 Sep 2018,http://www.squashinfo.com/events/7833-womens-pakistan-international-championship-2018,True
120,0,World Tour Gold,JP Morgan China Open (W),"Shanghai, China",9 Sep 2018,http://www.squashinfo.com/events/7828-womens-china-open-2018,True
121,1,Challenger Tour 20,Open International de Squash de Nantes (W),"Nantes, France",9 Sep 2018,http://www.squashinfo.com/events/7826-womens-open-international-de-squash-de-nantes-2018,True
122,2,Challenger Tour 5,Roberts & Morrow North Coast Open (W),"Coffs Harbour, NSW, Australia",2 Sep 2018,http://www.squashinfo.com/events/7824-womens-north-coast-open-2018,True
123,3,Challenger Tour 5,Squash Melbourne Open (W),"Melbourne, Australia",12 Aug 2018,http://www.squashinfo.com/events/7799-womens-squash-melbourne-open-2018,True
124,4,Challenger Tour 5,Growthpoint South African Open (W),"Pretoria, South Africa",11 Aug 2018,http://www.squashinfo.com/events/7793-womens-south-african-open-2018,True
125,5,Challenger Tour 10,Australian Open (W),"Melbourne, Australia",5 Aug 2018,http://www.squashinfo.com/events/7789-womens-australian-open-2018,True
126,6,PSA W10,City of Devonport Tasmanian Open (W),"Devonport, Tasmania, Australia",29 Jul 2018,http://www.squashinfo.com/events/7765-womens-tasmanian-open-2018,True
127,7,PSA W15,Malaysian Open (W),"Kuala Lumpur, Malaysia",22 Jul 2018,http://www.squashinfo.com/events/7764-womens-malaysian-open-2018,True
128,8,PSA W5,City Of Greater Bendigo International (W),"Bendigo, Victoria, Australia",15 Jul 2018,http://www.squashinfo.com/events/7760-womens-bendigo-international-2018,True
129,9,PSA W5,Jubilee Insurance Pakistan Circuit No3 (W),"Karachi, Pakistan",11 Jul 2018,http://www.squashinfo.com/events/7758-womens-pakistan-circuit-no3-2018,True
130,10,PSA W5,South Australian Open (W),"Adelaide, Australia",8 Jul 2018,http://www.squashinfo.com/events/7738-womens-south-australian-open-2018,True
131,11,PSA W15,Des Pyramides Open (W),"Le Port Marly, Paris, France",6 Jul 2018,http://www.squashinfo.com/events/7731-womens-des-pyramides-open-2018,True
132,12,PSA W5,SNGPL Pakistan Circuit No2 (W),"Lahore, Pakistan",30 Jun 2018,http://www.squashinfo.com/events/7729-womens-pakistan-circuit-no2-2018,True
133,13,PSA W5,Karakal Bangor Classic (W),"Bangor, Wales",24 Jun 2018,http://www.squashinfo.com/events/7725-womens-bangor-classic-2018,True
134,14,PSA W5,SquashGym New Zealand International Classic (W),"Palmerston North, New Zealand",10 Jun 2018,http://www.squashinfo.com/events/7680-womens-new-zealand-international-classic-2018,True
135,15,World Series Finals,ATCO PSA Dubai World Series Finals (W),"Dubai, United Arab Emirates",9 Jun 2018,http://www.squashinfo.com/events/7676-womens-world-series-finals-2018,True
136,16,PSA W5,City of Kalgoorlie Boulder Golden Open (W),"Kalgoorlie, WA, Australia",4 Jun 2018,http://www.squashinfo.com/events/7678-womens-golden-open-2018,True
137,17,PSA W5,CourtTech Classic (W),"Auckland, New Zealand",27 May 2018,http://www.squashinfo.com/events/7673-womens-courttech-classic-2018,True
138,18,PSA W5,Open International des Volcans (W),"Clermont-Ferrand, France",27 May 2018,http://www.squashinfo.com/events/7674-womens-open-international-des-volcans-2018,True
139,19,World Series,Allam British Open (W),"Hull, England",20 May 2018,http://www.squashinfo.com/events/7669-womens-british-open-2018,True
140,0,PSA W5,Christchurch Veterinary Surgery Ipswich Open (W),"Ipswich, England",20 May 2018,http://www.squashinfo.com/events/7671-womens-ipswich-open-2018,True
141,1,PSA W5,Pakistan Circuit No1 (W),"Islamabad, Pakistan",13 May 2018,http://www.squashinfo.com/events/7460-womens-pakistan-circuit-no1-2018,True
142,2,PSA W10,Chamberlain Open (W),"Lagos, Nigeria",12 May 2018,http://www.squashinfo.com/events/7662-womens-chamberlain-open-2018,True
143,3,PSA W10,NT Open (W),"Darwin, Australia",12 May 2018,http://www.squashinfo.com/events/7664-womens-nt-open-2018,True
144,4,PSA W15,CAC Open (W),"Sandy Springs, Georgia, USA",6 May 2018,http://www.squashinfo.com/events/7652-womens-cac-open-2018,True
145,5,PSA W15,Irish Open (W),"Dublin, Ireland",28 Apr 2018,http://www.squashinfo.com/events/7636-womens-irish-open-2018,True
146,6,PSA W10,Pilatus Indoors Sekisui Open (W),"Kriens, Switzerland",28 Apr 2018,http://www.squashinfo.com/events/7640-womens-sekisui-open-2018,True
147,7,World Series,El Gouna International Open (W),"El Gouna, Egypt",27 Apr 2018,http://www.squashinfo.com/events/7629-womens-el-gouna-international-open-2018,True
148,8,PSA W5,Keith Grainger Memorial UCT Open (W),"Cape Town, South Africa",27 Apr 2018,http://www.squashinfo.com/events/7634-womens-uct-open-2018,True
149,9,PSA W5,Assore Balwin Central Gauteng Open (W),"Johannesburg, South Africa",20 Apr 2018,http://www.squashinfo.com/events/7628-womens-central-gauteng-open-2018,True
150,10,PSA W10,Richmond Open (W),"Richmond, Virginia, USA",14 Apr 2018,http://www.squashinfo.com/events/7625-womens-richmond-open-2018,True
151,11,PSA W50,Macau Open (W),"Taipa, Macau",1 Apr 2018,http://www.squashinfo.com/events/7622-womens-macau-open-2018,True
152,12,PSA W5,Denton Associates Northern Open (W),"Manchester, England",25 Mar 2018,http://www.squashinfo.com/events/7615-womens-northern-open-2018,True
153,13,PSA W25,Novum Energy Texas Open (W),"Houston, Texas, USA",25 Mar 2018,http://www.squashinfo.com/events/7613-womens-texas-open-2018,True
154,14,PSA W5,Lagos International Classic (W),"Lagos, Nigeria",24 Mar 2018,http://www.squashinfo.com/events/7612-womens-lagos-international-classic-2018,True
155,15,PSA W15,Queen City Open (W),"Regina, Canada",18 Mar 2018,http://www.squashinfo.com/events/7607-womens-queen-city-open-2018,True
156,16,PSA W5,Malaysian Tour No7 (W),"Kuching, Sarawak, Malaysia",16 Mar 2018,http://www.squashinfo.com/events/7602-womens-malaysian-tour-no7-2018,True
157,17,PSA W15,Calgary CFO Consulting Services PSA Calgary Squash Week Open (W),"Calgary, Canada",11 Mar 2018,http://www.squashinfo.com/events/7587-womens-calgary-squash-week-open-2018,True
158,18,PSA W5,Contrex HK Challenge Cup (W),"Kowloon, Hong Kong",11 Mar 2018,http://www.squashinfo.com/events/7597-womens-hk-challenge-cup-2018,True
159,19,PSA W5,TRAC Oil & Gas North of Scotland Open (W),"Aberdeen, Scotland",11 Mar 2018,http://www.squashinfo.com/events/7589-womens-north-of-scotland-open-2018,True
160,0,PSA W10,Malaysian Tour No6 (W),"Kuala Lumpur, Malaysia",9 Mar 2018,http://www.squashinfo.com/events/7585-womens-malaysian-tour-no6-2018,True
161,1,PSA W5,Brisbane City Squash MS Sandgate Open (W),"Deagon, Queensland, Australia",4 Mar 2018,http://www.squashinfo.com/events/7577-womens-sandgate-open-2018,True
162,2,PSA W15,Wasatch Advisors Salt Lake City Open (W),"Salt Lake City, Utah, USA",3 Mar 2018,http://www.squashinfo.com/events/7575-womens-salt-lake-city-open-2018,True
163,3,PSA W5,Bermuda Open (W),"Hamilton, Bermuda",2 Mar 2018,http://www.squashinfo.com/events/7572-womens-bermuda-open-2018,True
164,4,PSA W5,Malaysian Tour No5 (W),"Penang, Malaysia",2 Mar 2018,http://www.squashinfo.com/events/7574-womens-malaysian-tour-no5-2018,True
165,5,World Series,Windy City Open presented by the Walter Family & EquiTrust Life Insurance Company (W),"Chicago, USA",28 Feb 2018,http://www.squashinfo.com/events/7531-womens-windy-city-open-2018,True
166,6,PSA W25,Bahl & Gaynor Cincinnati Cup (W),"Cincinnati, Ohio, USA",10 Feb 2018,http://www.squashinfo.com/events/7526-womens-cincinnati-gaynor-cup-2018,True
167,7,PSA W5,Malaysian Tour No4 (W),"Kuala Lumpur, Malaysia",10 Feb 2018,http://www.squashinfo.com/events/7523-womens-malaysian-tour-no4-2018,True
168,8,PSA W50,Cleveland Classic (W),"Cleveland, Ohio, USA",5 Feb 2018,http://www.squashinfo.com/events/7512-womens-cleveland-classic-2018,True
169,9,PSA W5,EM Noll Classic (W),"Philadelphia, USA",5 Feb 2018,http://www.squashinfo.com/events/7517-womens-em-noll-classic-2018,True
170,10,PSA W10,Winnipeg Winter Club Open (W),"Winnipeg, Canada",4 Feb 2018,http://www.squashinfo.com/events/7518-womens-winnipeg-winter-club-open-2018,True
171,11,PSA W5,Malaysian Tour No3 (W),"Kuala Lumpur, Malaysia",2 Feb 2018,http://www.squashinfo.com/events/7514-womens-malaysian-tour-no3-2018,True
172,12,PSA W10,Edinburgh Sports Club Open (W),"Edinburgh, Scotland",28 Jan 2018,http://www.squashinfo.com/events/7508-womens-edinburgh-sports-club-open-2018,True
