,index,tournament_type,name,location,date,url,matches_downloaded
472,12,WSA Gold 50,Lujiazui Finance City China Open (W),"Shanghai, China",27 Oct 2013,http://www.squashinfo.com/events/5510-womens-china-open-2013,True
473,13,WSA Tour 5,Queensland Open (W),"Brisbane, Australia",27 Oct 2013,http://www.squashinfo.com/events/5520-womens-queensland-open-2013,True
474,14,WSA Silver 35,Macau Open (W),"Taipa, Macau",20 Oct 2013,http://www.squashinfo.com/events/5505-womens-macau-open-2013,True
475,15,WSA World Series Platinum,Delaware Investments US Open (W),"Philadelphia, USA",18 Oct 2013,http://www.squashinfo.com/events/5491-womens-us-open-2013,True
476,16,WSA Tour 5,Open International des Volcans (W),"Clermont Ferrand, France",13 Oct 2013,http://www.squashinfo.com/events/5502-womens-open-international-des-volcans-2013,True
477,17,WSA Tour 10,IJM Land Penang Open (W),"Penang, Malaysia",12 Oct 2013,http://www.squashinfo.com/events/5500-womens-penang-open-2013,True
478,18,WSA Gold 50,Carol Weymuller Open (W),"New York, USA",6 Oct 2013,http://www.squashinfo.com/events/5492-womens-carol-weymuller-open-2013,True
479,19,WSA Tour 10,Equinox Orange County Open (W),"Irvine, California, USA",29 Sep 2013,http://www.squashinfo.com/events/5493-womens-orange-county-open-2013,True
480,0,WSA Tour 15,Abierto Mexicano de Raquetas (W),"Toluca, Mexico",22 Sep 2013,http://www.squashinfo.com/events/5488-womens-abierto-mexicano-de-raquetas-2013,True
481,1,WSA Tour 5,NASH Cup (W),"London, Ontario, Canada",20 Sep 2013,http://www.squashinfo.com/events/5487-womens-nash-cup-2013,True
482,2,WSA World Series Gold,CIMB Malaysian Open (W),"Petaling Jaya, Selangor, Malaysia",15 Sep 2013,http://www.squashinfo.com/events/5474-womens-malaysian-open-2013,True
483,3,WSA Tour 5,North Coast Open (W),"Coffs Harbour, NSW, Australia",8 Sep 2013,http://www.squashinfo.com/events/5481-womens-north-coast-open-2013,True
484,4,WSA Tour 5,New South Wales Open (W),"Sydney, Australia",1 Sep 2013,http://www.squashinfo.com/events/5478-womens-new-south-wales-open-2013,True
485,5,WSA Tour 5,Pro Squash in Japan Yokohama (W),"Yokohama City, Japan",1 Sep 2013,http://www.squashinfo.com/events/5477-womens-pro-squash-in-japan-2013,True
486,6,WSA Tour 5,Malaysian Tour 8th Leg (W),"Kerubong, Malacca, Malaysia",25 Aug 2013,http://www.squashinfo.com/events/5470-womens-malaysian-tour-2013,True
487,7,WSA Tour 10,Squash Revolution National Capital Open (W),"Chevy Chase, Maryland, USA",17 Aug 2013,http://www.squashinfo.com/events/5447-womens-national-capital-open-2013,True
488,8,WSA Tour 10,Hampton Squash Week (W),"Southampton, NY, USA",11 Aug 2013,http://www.squashinfo.com/events/5446-womens-hampton-squash-week-2013,True
489,9,WSA Tour 5,Tasmanian Open (W),"Bellerive, Tasmania, Australia",21 Jul 2013,http://www.squashinfo.com/events/5444-womens-tasmanian-open-2013,True
490,10,WSA Tour 10,Victorian Open (W),"Melbourne, Australia",14 Jul 2013,http://www.squashinfo.com/events/5434-womens-victorian-open-2013,True
491,11,WSA Tour 15,Buler Challenge Cup (W),Hong Kong,7 Jul 2013,http://www.squashinfo.com/events/5431-womens-buler-challenge-cup-2013,True
492,12,WSA Tour 5,Malaysian Tour 7th Leg (W),"Penang, Malaysia",7 Jul 2013,http://www.squashinfo.com/events/5445-womens-malaysian-tour-2013,True
493,13,WSA Tour 5,South Australian Open (W),"Plympton Park, Australia",15 Jun 2013,http://www.squashinfo.com/events/5424-womens-south-australian-open-2013,True
494,14,WSA Tour 5,Toyota Barossa Valley Open (W),"Tanunda, SA, Australia",9 Jun 2013,http://www.squashinfo.com/events/5423-womens-barossa-valley-open-2013,True
495,15,WSA World Series Platinum,Allam British Open (W),"Hull, England",26 May 2013,http://www.squashinfo.com/events/5395-womens-british-open-2013,True
496,16,WSA Tour 5,City of Perth International Challenge (W),"Perth, Australia",26 May 2013,http://www.squashinfo.com/events/5397-womens-city-of-perth-international-challenge-2013,True
