,index,tournament_type,name,location,date,url,matches_downloaded
1729,9,PSA Super Series Platinum,Saudi International (M),"Al-Khobar, Saudi Arabia",20 Dec 2006,http://www.squashinfo.com/events/2375-mens-saudi-international-2006,True
1730,10,PSA 1 Star,Prince Canary Islands Open (M),"Santa Cruz, Tenerife, Spain",17 Dec 2006,http://www.squashinfo.com/events/2668-mens-canary-islands-open-2006,True
1731,11,PSA Super Satellite,8 Gallery Open (M),"Turin, Italy",16 Dec 2006,http://www.squashinfo.com/events/2759-mens-8-gallery-open-2006,True
1732,12,PSA 2.5 Star,Merritt Properties Open (M),"Baltimore, USA",2 Dec 2006,http://www.squashinfo.com/events/2667-mens-merritt-properties-open-2006,True
1733,13,PSA Super Satellite,Grays Oslo Open (M),"Oslo, Norway",2 Dec 2006,http://www.squashinfo.com/events/2735-mens-oslo-open-2006,True
1734,14,PSA Super Series Silver,Warid Pakistan Open (M),"Islamabad, Pakistan",25 Nov 2006,http://www.squashinfo.com/events/2398-mens-pakistan-open-2006,True
1735,15,PSA Satellite,Sunset Open (M),"Sarasota, Florida, USA",19 Nov 2006,http://www.squashinfo.com/events/2590-mens-sunset-open-2006,True
1736,16,PSA 2 Star,Wolverhampton Open (M),"Wolverhampton, England",18 Nov 2006,http://www.squashinfo.com/events/2665-mens-wolverhampton-open-2006,True
1737,17,PSA Super Series Silver,US Open (M),"Boston, USA",16 Nov 2006,http://www.squashinfo.com/events/2579-mens-us-open-2006,True
1738,18,PSA 1 Star,Grande Prairie Open (M),"Grand Prairie, Alberta, Canada",12 Nov 2006,http://www.squashinfo.com/events/2736-mens-grande-prairie-open-2006,True
1739,19,PSA Satellite,Kengen Parklands Open (M),"Nairobi, Kenya",11 Nov 2006,http://www.squashinfo.com/events/2734-mens-parklands-open-2006,True
1740,0,PSA 3 Star,Cadillac Motor City Open (M),"Detroit, USA",7 Nov 2006,http://www.squashinfo.com/events/2664-mens-motor-city-open-2006,True
1741,1,PSA 2.5 Star,CAS International (M),"Islamabad, Pakistan",6 Nov 2006,http://www.squashinfo.com/events/2395-mens-cas-international-2006,True
