,index,tournament_type,name,location,date,url,matches_downloaded
0,0,Challenger Tour 10,Pakistan International Championship (M),"Islamabad, Pakistan",11 Dec 2020,http://www.squashinfo.com/events/713-mens-pakistan-international-championship-2020,True
1,1,Challenger Tour 10,Sihltal Classic (M),"Langnau am Albis, Switzerland",6 Dec 2020,http://www.squashinfo.com/events/8603-mens-sihltal-classic-2020,True
2,2,Challenger Tour 10,BISL International (M),"Quetta, Pakistan",28 Nov 2020,http://www.squashinfo.com/events/8594-mens-bisl-international-2020,True
3,3,Challenger Tour 10,Liechtenstein Open (M),"Vaduz, Liechtenstein",22 Nov 2020,http://www.squashinfo.com/events/8587-mens-liechtenstein-open-2020,True
4,4,Challenger Tour 5,Austrian Open (M),"Salzburg, Austria",8 Nov 2020,http://www.squashinfo.com/events/8586-mens-austrian-open-2020,True
5,5,World Tour Platinum,Qatar Classic (M),"Doha, Qatar",7 Nov 2020,http://www.squashinfo.com/events/8566-mens-qatar-classic-2020,True
6,6,Challenger Tour 5,Swiss Open (M),"Uster, Switzerland",1 Nov 2020,http://www.squashinfo.com/events/8581-mens-swiss-open-2020,True
7,7,Challenger Tour 5,QSF No.3 (M),"Doha, Qatar",21 Oct 2020,http://www.squashinfo.com/events/8580-mens-qsf-no3-2020,True
8,8,World Tour Platinum,CIB Egyptian Open (M),"Giza, Egypt",17 Oct 2020,http://www.squashinfo.com/events/8564-mens-egyptian-open-2020,True
9,9,World Tour Finals,CIB PSA World Tour Finals (M),"6th of October City, Egypt",3 Oct 2020,http://www.squashinfo.com/events/8562-mens-world-tour-finals-2020,True
10,10,World Tour Silver,Manchester Open (M),"Manchester, England",22 Sep 2020,http://www.squashinfo.com/events/8560-mens-manchester-open-2020,True
11,11,Challenger Tour 10,Expression Networks Nolan & Liam's Tournament (M),"Prague, Czech Republic",13 Sep 2020,http://www.squashinfo.com/events/8572-mens-expression-networks-nolan-liams-tournament-2020,True
12,12,World Tour Gold,St James's Place Canary Wharf Classic (M),"London, England",13 Mar 2020,http://www.squashinfo.com/events/8389-mens-canary-wharf-classic-2020,True
13,13,Challenger Tour 5,Barfoot & Thompson Auckland Open (M),"Auckland, New Zealand",8 Mar 2020,http://www.squashinfo.com/events/8539-mens-auckland-open-2020,True
14,14,Challenger Tour 10,Qualico Manitoba Open (M),"Winnipeg, Canada",8 Mar 2020,http://www.squashinfo.com/events/8540-mens-manitoba-open-2020,True
15,15,World Tour Platinum,Windy City Open presented by the Walter Family (M),"Chicago, USA",4 Mar 2020,http://www.squashinfo.com/events/8387-mens-windy-city-open-2020,True
16,16,Challenger Tour 5,Hampshire Open (M),"Eastleigh, Southampton, England",1 Mar 2020,http://www.squashinfo.com/events/8535-mens-hampshire-open-2020,True
17,17,Challenger Tour 5,Egyptian Tour No4 (M),"Alexandria, Egypt",28 Feb 2020,http://www.squashinfo.com/events/8533-mens-egyptian-tour-2020,True
18,18,World Tour Silver,Troilus Gold Canada Cup (M),"Toronto, Canada",25 Feb 2020,http://www.squashinfo.com/events/8386-mens-canada-cup-2020,True
19,19,Challenger Tour 5,Mount Royal University Open (M),"Calgary, Canada",23 Feb 2020,http://www.squashinfo.com/events/8528-mens-mount-royal-university-open-2020,True
20,0,Challenger Tour 5,Chronicle Wealth Guilfoyle PSA Toronto Classic (M),"Toronto, Canada",22 Feb 2020,http://www.squashinfo.com/events/8507-mens-toronto-classic-2020,True
21,1,Challenger Tour 20,Oregon Open (M),"Portland, Oregon, USA",15 Feb 2020,http://www.squashinfo.com/events/8475-mens-oregon-open-2020,True
22,2,Challenger Tour 10,Assante Wealth Management Carter Classic (M),"Toronto, Canada",13 Feb 2020,http://www.squashinfo.com/events/8474-mens-carter-classic-2020,True
23,3,Challenger Tour 10,Life Time Atlanta Open (M),"Sandy Springs, Georgia, USA",9 Feb 2020,http://www.squashinfo.com/events/8460-mens-atlanta-open-2020,True
24,4,Challenger Tour 10,Linear Logistics Bankers Hall Club Pro Am (M),"Calgary, Canada",9 Feb 2020,http://www.squashinfo.com/events/8461-mens-bankers-hall-club-pro-am-2020,True
25,5,World Tour Silver,Motor City Open (M),"Bloomfield Hills, Detroit, USA",9 Feb 2020,http://www.squashinfo.com/events/8382-mens-motor-city-open-2020,True
26,6,Challenger Tour 20,CNS International (M),"Karachi, Pakistan",8 Feb 2020,http://www.squashinfo.com/events/8458-mens-cns-international-2020,True
27,7,Challenger Tour 10,EM Noll Classic (M),"Philadelphia, USA",2 Feb 2020,http://www.squashinfo.com/events/8453-mens-em-noll-classic-2020,True
28,8,Challenger Tour 5,SRFI Indian Tour Jaipur Leg (M),"Jaipur, India",2 Feb 2020,http://www.squashinfo.com/events/8455-mens-srfi-indian-tour-2020,True
29,9,Challenger Tour 5,Odense Open (M),"Odense, Denmark",1 Feb 2020,http://www.squashinfo.com/events/8449-mens-odense-open-2020,True
30,10,World Tour Bronze,Pittsburgh Open (M),"Pittsburgh, USA",27 Jan 2020,http://www.squashinfo.com/events/8379-mens-pittsburgh-open-2020,True
31,11,Challenger Tour 5,Airport Challenger (M),"Berlin, Germany",18 Jan 2020,http://www.squashinfo.com/events/8378-mens-airport-challenger-2020,True
32,12,World Tour Platinum,JP Morgan Tournament of Champions (M),"New York, USA",17 Jan 2020,http://www.squashinfo.com/events/8367-mens-tournament-of-champions-2020,True
33,13,Challenger Tour 5,CIB Egyptian Tour (M),"Tanta, Egypt",27 Dec 2019,http://www.squashinfo.com/events/8376-mens-egyptian-tour-2019,True
34,14,Challenger Tour 10,DG Rangers Sindh Open (M),"Karachi, Pakistan",24 Dec 2019,http://www.squashinfo.com/events/8375-mens-sindh-open-2019,True
35,15,Challenger Tour 20,SRFI Indian Tour Mumbai Leg (M),"Mumbai, India",21 Dec 2019,http://www.squashinfo.com/events/8373-mens-srfi-indian-tour-2019,True
36,16,Challenger Tour 20,Serena Hotels-Huawei Pakistan International Championship (M),"Islamabad, Pakistan",19 Dec 2019,http://www.squashinfo.com/events/8369-mens-pakistan-international-championship-2019,True
37,17,Challenger Tour 5,Imet Open (M),"Bratislava, Slovakia",14 Dec 2019,http://www.squashinfo.com/events/8362-mens-imet-open-2019,True
38,18,Challenger Tour 10,Life Time Betty F Griffin Memorial Florida Open (M),"Boca Raton, USA",8 Dec 2019,http://www.squashinfo.com/events/8357-mens-florida-open-2019,True
39,19,Challenger Tour 5,Cognac Open (M),"Cognac, France",7 Dec 2019,http://www.squashinfo.com/events/8355-mens-cognac-open-2019,True
40,0,Challenger Tour 10,Securian Open (M),"St Paul, Minnesota, USA",7 Dec 2019,http://www.squashinfo.com/events/8356-mens-securian-open-2019,True
41,1,Challenger Tour 5,Chongqing International Classic (M),"Chongqing, China",1 Dec 2019,http://www.squashinfo.com/events/8351-mens-chongqing-international-classic-2019,True
42,2,Challenger Tour 5,Medicine Hat Open (M),"Medicine Hat, Canada",1 Dec 2019,http://www.squashinfo.com/events/8350-mens-medicine-hat-open-2019,True
43,3,Challenger Tour 5,Aston & Fincher Sutton Coldfield International (M),"Sutton Coldfield, England",30 Nov 2019,http://www.squashinfo.com/events/8346-mens-sutton-coldfield-international-2019,True
44,4,Challenger Tour 10,PSA Valencia Open (M),"Valencia, Spain",30 Nov 2019,http://www.squashinfo.com/events/8347-mens-valencia-open-2019,True
45,5,Challenger Tour 5,Capra Baerum Open (M),"Lysaker, Norway",24 Nov 2019,http://www.squashinfo.com/events/8344-mens-capra-baerum-open-2019,True
46,6,World Tour Gold,Channel VAS Championship at St George's Hill (M),"Weybridge, Surrey, England",24 Nov 2019,http://www.squashinfo.com/events/8335-mens-channel-vas-championship-2019,True
47,7,Challenger Tour 5,Internazionali D'Italia (M),"Rende, Italy",24 Nov 2019,http://www.squashinfo.com/events/8341-mens-internazionali-ditalia-2019,True
48,8,Challenger Tour 5,Life Time Las Vegas Open (M),"Las Vegas, USA",24 Nov 2019,http://www.squashinfo.com/events/8342-mens-las-vegas-open-2019,True
49,9,Challenger Tour 10,London Open (M),"London, England",24 Nov 2019,http://www.squashinfo.com/events/8339-mens-london-open-2019,True
50,10,Challenger Tour 10,Movember Saskatoon Boast Open (M),"Saskatoon, Canada",24 Nov 2019,http://www.squashinfo.com/events/8343-mens-saskatoon-boast-open-2019,True
51,11,Challenger Tour 10,Dominicana Open (M),"Santo Domingo, Dominican Republic",23 Nov 2019,http://www.squashinfo.com/events/8338-mens-dominicana-open-2019,True
52,12,Challenger Tour 10,Open International Niort Venise Verte (M),"Niort, France",17 Nov 2019,http://www.squashinfo.com/events/8331-mens-open-international-niort-venise-verte-2019,True
53,13,Challenger Tour 5,Romanian Open (M),"Cluj-Napoca, Romania",17 Nov 2019,http://www.squashinfo.com/events/8334-mens-romanian-open-2019,True
54,14,World Championship,2019/2020 PSA World Championship (M),"Doha, Qatar",15 Nov 2019,http://www.squashinfo.com/events/7884-mens-world-championship-2019,True
55,15,Challenger Tour 5,Pacific Toyota Cairns International (M),"Cairns, Australia",10 Nov 2019,http://www.squashinfo.com/events/8328-mens-cairns-international-2019,True
56,16,Challenger Tour 10,APM Kelowna Open (M),"Kelowna, BC, Canada",10 Nov 2019,http://www.squashinfo.com/events/8327-mens-kelowna-open-2019,True
57,17,Challenger Tour 5,Queensland Open (M),"Brisbane, Australia",3 Nov 2019,http://www.squashinfo.com/events/8320-mens-queensland-open-2019,True
58,18,Challenger Tour 5,PSA BTMI Barbados Open (M),"Christ Church, Barbados",2 Nov 2019,http://www.squashinfo.com/events/8317-mens-barbados-open-2019,True
59,19,Challenger Tour 5,Celestino Martinez Memorial Tournament (M),"Stanford, California, USA",2 Nov 2019,http://www.squashinfo.com/events/8318-mens-celestino-martinez-memorial-tournament-2019,True
60,0,World Tour Platinum,CIB Egyptian Open (M),"Giza, Egypt",1 Nov 2019,http://www.squashinfo.com/events/8316-mens-egyptian-open-2019,True
61,1,Challenger Tour 10,Swiss Open (M),"Uster, Switzerland",27 Oct 2019,http://www.squashinfo.com/events/8315-mens-swiss-open-2019,True
62,2,Challenger Tour 30,Life Time Chicago Open (M),"Vernon Hills, Chicago, USA",20 Oct 2019,http://www.squashinfo.com/events/8312-mens-chicago-open-2019,True
63,3,Challenger Tour 20,Cleveland Skating Club Open (M),"Cleveland, Ohio, USA",20 Oct 2019,http://www.squashinfo.com/events/8311-mens-cleveland-skating-club-open-2019,True
64,4,Challenger Tour 10,2nd Novum Energy Texas Open (M),"Houston, USA",20 Oct 2019,http://www.squashinfo.com/events/8314-mens-texas-open-2019,True
65,5,Challenger Tour 20,Arnold Homes Tring Open (M),"Tring, Herts, England",19 Oct 2019,http://www.squashinfo.com/events/8313-mens-tring-open-2019,True
66,6,Challenger Tour 20,SRFI Indian Tour Chennai Leg (M),"Chennai, India",17 Oct 2019,http://www.squashinfo.com/events/8309-mens-srfi-indian-tour-2019,True
67,7,Challenger Tour 5,Coverstaff Recruitment SquashXL Open (M),"Auckland, New Zealand",13 Oct 2019,http://www.squashinfo.com/events/8308-mens-squashxl-open-2019,True
68,8,World Tour Platinum,FS Investments US Open (M),"Philadelphia, USA",12 Oct 2019,http://www.squashinfo.com/events/8306-mens-us-open-2019,True
69,9,Challenger Tour 5,Czech Open (M),"Prague, Czech Republic",6 Oct 2019,http://www.squashinfo.com/events/8303-mens-czech-open-2019,True
70,10,Challenger Tour 5,CIB Port Said Egyptian Tour (M),"Port Said, Egypt",6 Oct 2019,http://www.squashinfo.com/events/8304-mens-egyptian-tour-2019,True
71,11,World Tour Gold,Oracle NetSuite Open (M),"San Francisco, USA",30 Sep 2019,http://www.squashinfo.com/events/8287-mens-netsuite-open-2019,True
72,12,Challenger Tour 5,Haining Open (M),"Haining, China",29 Sep 2019,http://www.squashinfo.com/events/8301-mens-haining-open-2019,True
73,13,Challenger Tour 30,Malaysian Open (M),"Kuala Lumpur, Malaysia",29 Sep 2019,http://www.squashinfo.com/events/8296-mens-malaysian-open-2019,True
74,14,Challenger Tour 5,Wakefield Open (M),"The Plains, Virginia, USA",29 Sep 2019,http://www.squashinfo.com/events/8300-mens-wakefield-open-2019,True
75,15,Challenger Tour 5,Aspin Cup (M),"Charlottetown, Canada",28 Sep 2019,http://www.squashinfo.com/events/8298-mens-aspin-cup-2019,True
76,16,Challenger Tour 5,QSF No.3 (M),"Doha, Qatar",25 Sep 2019,http://www.squashinfo.com/events/8295-mens-qsf-no3-2019,True
77,17,Challenger Tour 5,China Suqian International Classic (M),"Suqian, China",22 Sep 2019,http://www.squashinfo.com/events/8292-mens-china-suqian-international-classic-2019,True
78,18,Challenger Tour 5,Kiva Club Open (M),"Santa Fe, New Mexico, USA",22 Sep 2019,http://www.squashinfo.com/events/8294-mens-kiva-club-open-2019,True
79,19,Challenger Tour 10,NASH Cup (M),"London, Ontario, Canada",21 Sep 2019,http://www.squashinfo.com/events/8285-mens-nash-cup-2019,True
80,0,Challenger Tour 10,CenterState Bank Marietta Open (M),"Marietta, GA, USA",15 Sep 2019,http://www.squashinfo.com/events/8284-mens-marietta-open-2019,True
81,1,Challenger Tour 30,PSA HKFC International (M),"Happy Valley, Hong Kong",14 Sep 2019,http://www.squashinfo.com/events/8282-mens-hkfc-international-2019,True
82,2,World Tour Silver,Open de France Nantes 2019 presented by Tailor Capital (M),"Nantes, France",14 Sep 2019,http://www.squashinfo.com/events/8280-mens-open-de-france-2019,True
83,3,World Tour Gold,JP Morgan China Open (M),"Shanghai, China",8 Sep 2019,http://www.squashinfo.com/events/8276-mens-china-open-2019,True
84,4,Challenger Tour 10,Madeira International Open (M),"Caniço, Madeira, Portugal",8 Sep 2019,http://www.squashinfo.com/events/8278-mens-madeira-international-open-2019,True
85,5,Challenger Tour 5,CIB El Shams Egyptian Tour (M),"Heliopolis, Cairo, Egypt",6 Sep 2019,http://www.squashinfo.com/events/8274-mens-egyptian-tour-2019,True
86,6,Challenger Tour 5,Squash Melbourne Open (M),"Melbourne, Australia",1 Sep 2019,http://www.squashinfo.com/events/8250-mens-squash-melbourne-open-2019,True
87,7,Challenger Tour 10,Pakistan Circuit No1 (M),"Islamabad, Pakistan",30 Aug 2019,http://www.squashinfo.com/events/8242-mens-pakistan-circuit-no1-2019,True
88,8,Challenger Tour 10,SRFI Indian Tour Delhi Leg (M),"Greater Noida, India",27 Aug 2019,http://www.squashinfo.com/events/8238-mens-srfi-indian-tour-2019,True
89,9,Challenger Tour 5,Roberts & Morrow North Coast Open (M),"Coffs Harbour, NSW, Australia",25 Aug 2019,http://www.squashinfo.com/events/8236-mens-north-coast-open-2019,True
90,10,Challenger Tour 5,City of Greater Shepparton International (M),"Shepparton, Victoria, Australia",18 Aug 2019,http://www.squashinfo.com/events/8235-mens-shepparton-international-2019,True
91,11,Challenger Tour 30,Northwestern Mutual Life Time Houston Open (M),"Houston, USA",11 Aug 2019,http://www.squashinfo.com/events/8230-mens-houston-open-2019,True
92,12,Challenger Tour 5,Steel City South Australian Open (M),"Whyalla, SA, Australia",11 Aug 2019,http://www.squashinfo.com/events/8233-mens-south-australian-open-2019,True
93,13,Challenger Tour 5,MTC Squash Russian Open (M),"Moscow, Russia",10 Aug 2019,http://www.squashinfo.com/events/8231-mens-russian-open-2019,True
94,14,Challenger Tour 10,Growthpoint South African Open (M),"Cape Town, South Africa",10 Aug 2019,http://www.squashinfo.com/events/8228-mens-south-african-open-2019,True
95,15,Challenger Tour 5,City of Greater Bendigo International (M),"Bendigo, Victoria, Australia",4 Aug 2019,http://www.squashinfo.com/events/8225-mens-bendigo-international-2019,True
96,16,Challenger Tour 10,Greetings Championship (M),"Isesaki, Gunma, Japan",4 Aug 2019,http://www.squashinfo.com/events/8227-mens-greetings-championship-2019,True
97,17,Challenger Tour 30,QSF Open (M),"Doha, Qatar",24 Jul 2019,http://www.squashinfo.com/events/8217-mens-qsf-open-2019,True
98,18,Challenger Tour 10,Tasmanian Open (M),"Devonport, Tasmania, Australia",14 Jul 2019,http://www.squashinfo.com/events/8194-mens-tasmanian-open-2019,True
99,19,Challenger Tour 10,Australian Open (M),"Bega, NSW, Australia",7 Jul 2019,http://www.squashinfo.com/events/8192-mens-australian-open-2019,True
100,0,Challenger Tour 5,Mulgrave Country Club Victorian Open (M),"Melbourne, Australia",30 Jun 2019,http://www.squashinfo.com/events/8180-mens-victorian-open-2019,True
101,1,Challenger Tour 5,Gibraltar Open (M),Gibraltar,29 Jun 2019,http://www.squashinfo.com/events/8179-mens-gibraltar-open-2019,True
102,2,Challenger Tour 5,Life Time Mississauga Open (M),"Mississauga, Canada",23 Jun 2019,http://www.squashinfo.com/events/8177-mens-mississauga-open-2019,True
103,3,Challenger Tour 10,ILT & Community Trust PSA NZ Southern Open (M),"Invercargill, New Zealand",23 Jun 2019,http://www.squashinfo.com/events/8176-mens-nz-southern-open-2019,True
104,4,Challenger Tour 5,White Nights Open (M),"Saint Petersburg, Russia",22 Jun 2019,http://www.squashinfo.com/events/8178-mens-white-nights-open-2019,True
105,5,Challenger Tour 10,FMC Pvt Ltd Lahore International (M),"Lahore, Pakistan",15 Jun 2019,http://www.squashinfo.com/events/8170-mens-lahore-international-2019,True
106,6,Challenger Tour 5,Prague Open (M),"Prague, Czech Republic",14 Jun 2019,http://www.squashinfo.com/events/8169-mens-prague-open-2019,True
107,7,World Tour Finals,CIB PSA World Tour Finals (M),"6th of October City, Egypt",14 Jun 2019,http://www.squashinfo.com/events/8167-mens-world-tour-finals-2019,True
108,8,Challenger Tour 10,Inspirenet New Zealand International Classic (M),"Palmerston North, New Zealand",9 Jun 2019,http://www.squashinfo.com/events/8164-mens-new-zealand-international-classic-2019,True
109,9,Challenger Tour 5,Austrian Open (M),"Salzburg, Austria",8 Jun 2019,http://www.squashinfo.com/events/8163-mens-austrian-open-2019,True
110,10,Challenger Tour 5,City of Kalgoorlie Golden Open (M),"Kalgoorlie, WA, Australia",3 Jun 2019,http://www.squashinfo.com/events/8161-mens-golden-open-2019,True
111,11,World Tour Bronze,XII Torneo Internacional Sporta Open (M),"Guatemala City, Guatemala",2 Jun 2019,http://www.squashinfo.com/events/8160-mens-internacional-sporta-open-2019,True
112,12,Challenger Tour 30,5R Montpellier Metropole Open (M),"Montpellier, France",2 Jun 2019,http://www.squashinfo.com/events/8159-mens-montpellier-metropole-open-2019,True
113,13,Challenger Tour 10,Tour de las Americas Paraguay Open (M),"Asuncion, Paraguay",1 Jun 2019,http://www.squashinfo.com/events/8157-mens-paraguay-open-2019,True
114,14,Challenger Tour 10,Life Time Philadelphia Open (M),"Wayne, PA, USA",1 Jun 2019,http://www.squashinfo.com/events/8156-mens-philadelphia-open-2019,True
115,15,Challenger Tour 10,Migdal Insurance PSA 11k Tel Aviv Open (M),"Tel Aviv, Israel",1 Jun 2019,http://www.squashinfo.com/events/8158-mens-tel-aviv-open-2019,True
116,16,World Tour Platinum,Allam British Open (M),"Hull, England",26 May 2019,http://www.squashinfo.com/events/7983-mens-british-open-2019,True
117,17,Challenger Tour 10,Tour de las Americas Regatas Resistencia Open (M),"Resistencia, Argentina",25 May 2019,http://www.squashinfo.com/events/8136-mens-regatas-resistencia-open-2019,True
118,18,Challenger Tour 10,Sekisui Open (M),"Kriens, Switzerland",25 May 2019,http://www.squashinfo.com/events/8137-mens-sekisui-open-2019,True
119,19,Challenger Tour 5,Solomon Markets CityView Open (M),"Long Island City, NY, USA",18 May 2019,http://www.squashinfo.com/events/8133-mens-cityview-open-2019,True
120,0,Challenger Tour 10,Tour de las Americas PSA Colon Open (M),"Colon, Argentina",18 May 2019,http://www.squashinfo.com/events/8134-mens-colon-open-2019,True
121,1,Challenger Tour 10,Garavan's West of Ireland Open (M),"Galway, Ireland",18 May 2019,http://www.squashinfo.com/events/8132-mens-west-of-ireland-open-2019,True
122,2,World Tour Bronze,Squash Squared Wimbledon Club Open (M),"London, England",16 May 2019,http://www.squashinfo.com/events/7982-mens-wimbledon-club-open-2019,True
123,3,Challenger Tour 5,Tour de las Americas PSA Mar del Plata Open (M),"Mar del Plata, Argentina",11 May 2019,http://www.squashinfo.com/events/8128-mens-mar-del-plata-open-2019,True
124,4,Challenger Tour 10,3rd Rhiwbina Welsh Open (M),"Cardiff, Wales",11 May 2019,http://www.squashinfo.com/events/8127-mens-welsh-open-2019,True
125,5,Challenger Tour 30,Pembroke Management Montreal Open (M),"Montreal, Canada",10 May 2019,http://www.squashinfo.com/events/8126-mens-montreal-open-2019,True
126,6,Challenger Tour 10,New York Squash Hyder Trophy (M),"New York, USA",5 May 2019,http://www.squashinfo.com/events/8122-mens-hyder-trophy-2019,True
127,7,Challenger Tour 5,Keith Grainger Memorial UCT Open (M),"Cape Town, South Africa",3 May 2019,http://www.squashinfo.com/events/8114-mens-uct-open-2019,True
128,8,Challenger Tour 20,Cannon Kirk Irish Open (M),"Dublin, Ireland",27 Apr 2019,http://www.squashinfo.com/events/8107-mens-irish-open-2019,True
129,9,World Tour Platinum,El Gouna International Open (M),"El Gouna, Egypt",26 Apr 2019,http://www.squashinfo.com/events/7980-mens-el-gouna-international-open-2019,True
130,10,Challenger Tour 5,Johannesburg Open (M),"Johannesburg, South Africa",26 Apr 2019,http://www.squashinfo.com/events/8105-mens-johannesburg-open-2019,True
131,11,Challenger Tour 5,SRAM PSA 2 (M),"Kuala Lumpur, Malaysia",26 Apr 2019,http://www.squashinfo.com/events/8109-mens-sram-psa-2-2019,True
132,12,World Tour Gold,DPD Open (M),"Eindhoven, Netherlands",14 Apr 2019,http://www.squashinfo.com/events/7976-mens-dpd-open-2019,True
133,13,World Tour Bronze,Macau Open (M),"Taipa, Macau",14 Apr 2019,http://www.squashinfo.com/events/7978-mens-macau-open-2019,True
134,14,Challenger Tour 20,Serena Hotel Huawei Pakistan International Championship (M),"Islamabad, Pakistan",10 Apr 2019,http://www.squashinfo.com/events/8098-mens-pakistan-international-championship-2019,True
135,15,Challenger Tour 5,Rochester Pro-Am (M),"Rochester, NY, USA",7 Apr 2019,http://www.squashinfo.com/events/8095-mens-rochester-pro-am-2019,True
136,16,Challenger Tour 10,Springfield Scottish Open (M),"Edinburgh, Scotland",7 Apr 2019,http://www.squashinfo.com/events/8092-mens-scottish-open-2019,True
137,17,Challenger Tour 5,SRAM PSA 1 (M),"Kuala Lumpur, Malaysia",7 Apr 2019,http://www.squashinfo.com/events/8103-mens-sram-psa-1-2019,True
138,18,Challenger Tour 30,Serena Hotels CAS International (M),"Islamabad, Pakistan",5 Apr 2019,http://www.squashinfo.com/events/8090-mens-cas-international-2019,True
139,19,Challenger Tour 5,Pure Blonde Elanora Open (M),"Elanora Heights, NSW, Australia",31 Mar 2019,http://www.squashinfo.com/events/8085-mens-elanora-open-2019,True
140,0,World Tour Gold,Grasshopper Cup (M),"Zurich, Switzerland",31 Mar 2019,http://www.squashinfo.com/events/7975-mens-grasshopper-cup-2019,True
141,1,Challenger Tour 10,Lethbridge Pro-Am (M),"Lethbridge, Alberta, Canada",24 Mar 2019,http://www.squashinfo.com/events/8081-mens-lethbridge-pro-am-2019,True
142,2,Challenger Tour 5,Cronimet Swedish Open (M),"Skellefteå, Sweden",24 Mar 2019,http://www.squashinfo.com/events/8079-mens-swedish-open-2019,True
143,3,Challenger Tour 10,Crawford Fund Management Tennis & Racquet Club Open (M),"Boston, USA",24 Mar 2019,http://www.squashinfo.com/events/8078-mens-tennis-racquet-club-open-2019,True
144,4,Challenger Tour 10,Subbotnik Open (M),"Moscow, Russia",18 Mar 2019,http://www.squashinfo.com/events/8075-mens-subbotnik-open-2019,True
145,5,Challenger Tour 20,Qualico Manitoba Open (M),"Winnipeg, Canada",17 Mar 2019,http://www.squashinfo.com/events/7972-mens-manitoba-open-2019,True
146,6,World Tour Gold,Citigold Wealth Management Canary Wharf Classic (M),"London, England",15 Mar 2019,http://www.squashinfo.com/events/7973-mens-canary-wharf-classic-2019,True
147,7,Challenger Tour 5,Perrier HK Challenge Cup (M),"Kowloon, Hong Kong",9 Mar 2019,http://www.squashinfo.com/events/8069-mens-hk-challenge-cup-2019,True
148,8,Challenger Tour 5,Bermuda Open (M),"Devonshire, Bermuda",8 Mar 2019,http://www.squashinfo.com/events/8066-mens-bermuda-open-2019,True
149,9,World Tour Silver,Troilus Canada Cup (M),"Toronto, Canada",7 Mar 2019,http://www.squashinfo.com/events/8062-mens-canada-cup-2019,True
150,10,Challenger Tour 5,Hampshire Open (M),"Eastleigh, Southampton, England",3 Mar 2019,http://www.squashinfo.com/events/8061-mens-hampshire-open-2019,True
151,11,World Championship,2018/2019 PSA World Championship (M),"Chicago, USA",2 Mar 2019,http://www.squashinfo.com/events/7970-mens-world-championship-2019,True
152,12,Challenger Tour 5,Mount Royal University Open (M),"Calgary, Canada",24 Feb 2019,http://www.squashinfo.com/events/8055-mens-mount-royal-university-open-2019,True
153,13,Challenger Tour 5,Guilfoyle PSA Toronto Classic (M),"Toronto, Canada",23 Feb 2019,http://www.squashinfo.com/events/8054-mens-toronto-classic-2019,True
154,14,Challenger Tour 10,EM Noll Classic (M),"Philadelphia, USA",18 Feb 2019,http://www.squashinfo.com/events/8033-mens-em-noll-classic-2019,True
155,15,Challenger Tour 10,Life Time Atlanta Open (M),"Sandy Springs, Georgia, USA",17 Feb 2019,http://www.squashinfo.com/events/8029-mens-atlanta-open-2019,True
156,16,Challenger Tour 5,PSA Falcon Cup Open (M),"Minsk, Belarus",17 Feb 2019,http://www.squashinfo.com/events/8032-mens-falcon-cup-open-2019,True
157,17,Challenger Tour 5,Bourbon Trail Event No3 (M),"Louisville, USA",16 Feb 2019,http://www.squashinfo.com/events/8028-mens-bourbon-trail-event-2019,True
158,18,Challenger Tour 10,Linear Logistics Bankers Hall Club Pro Am (M),"Calgary, Canada",10 Feb 2019,http://www.squashinfo.com/events/8015-mens-bankers-hall-club-pro-am-2019,True
159,19,World Tour Bronze,Three Rivers Capital Pittsburgh Open (M),"Pittsburgh, USA",10 Feb 2019,http://www.squashinfo.com/events/7969-mens-pittsburgh-open-2019,True
160,0,Challenger Tour 10,Carter Client Group & Assante Wealth Management Carter Classic (M),"Toronto, Canada",8 Feb 2019,http://www.squashinfo.com/events/8013-mens-carter-classic-2019,True
161,1,Challenger Tour 5,Savcor Finnish Open (M),"Mikkeli, Finland",3 Feb 2019,http://www.squashinfo.com/events/8010-mens-finnish-open-2019,True
162,2,World Tour Silver,Suburban Collection Motor City Open (M),"Bloomfield Hills, Detroit, USA",2 Feb 2019,http://www.squashinfo.com/events/7967-mens-motor-city-open-2019,True
163,3,Challenger Tour 5,Odense Open (M),"Odense, Denmark",2 Feb 2019,http://www.squashinfo.com/events/8005-mens-odense-open-2019,True
164,4,Challenger Tour 10,Seattle Open (M),"Seattle, USA",2 Feb 2019,http://www.squashinfo.com/events/8006-mens-seattle-open-2019,True
165,5,Challenger Tour 5,Bourbon Trail Event No2 (M),"Chattanooga, USA",26 Jan 2019,http://www.squashinfo.com/events/7999-mens-bourbon-trail-event-2019,True
166,6,World Tour Platinum,JP Morgan Tournament of Champions (M),"New York, USA",24 Jan 2019,http://www.squashinfo.com/events/7963-mens-tournament-of-champions-2019,True
167,7,World Tour Silver,CCI International (M),"Mumbai, India",12 Jan 2019,http://www.squashinfo.com/events/7962-mens-cci-international-2019,True
168,8,Challenger Tour 5,Contrex HK Challenge Cup (M),Hong Kong,12 Jan 2019,http://www.squashinfo.com/events/7987-mens-hk-challenge-cup-2019,True
169,9,Challenger Tour 5,Select Gaming Colin Payne Kent Open (M),"Tunbridge Wells, England",12 Jan 2019,http://www.squashinfo.com/events/7989-mens-kent-open-2019,True
170,10,Challenger Tour 5,Bourbon Trail Event No1 (M),"Chattanooga, USA",5 Jan 2019,http://www.squashinfo.com/events/7961-mens-bourbon-trail-event-2019,True
