,tournament_index,round,players,result
2601,88,1st round,Hasanain Dakheel (IRQ) bt Rounak Yadav (IND),"11-8, 11-8, 7-11, 11-3"
2602,88,1st round,Mohd Farez Izwan (MAS) bt Jaideep Sethi (IND),"11-2, 11-1, 11-5"
2603,88,1st round,[6] Abhishek Agarwal (IND),bye
2604,88,1st round,[5] Abhishek Pradhan (IND),bye
2605,88,1st round,Yash Fadte (IND) bt Ravi Dixit (IND),"11-3, 11-3, 11-8"
2606,88,1st round,Vikas Mehra (IND) bt Navaneeth Prabhu (IND),"11-7, 8-11, 11-9, 11-7"
2607,88,1st round,[3] Ammar Altamimi (KUW),bye
2608,88,1st round,[4] Aadit Zaveri (IND),bye
2609,88,1st round,[WC] Velavan Senthilkumar (IND) bt Varun Johnny (IND),"11-1, 11-1, 11-0"
2610,88,1st round,[WC] Rutvik Rau (IND) bt Omar El Hadidi (EGY),"11-4, 11-3, 11-4"
2611,88,1st round,[7] Chua Man Chin (SGP),bye
2612,88,1st round,[8] Robert Garcia (PHI),bye
2613,88,1st round,Chua Man Tong (SGP),bye
2614,88,1st round,Sandeep Ramachandran (IND),bye
2615,88,1st round,[1] Vikram Malhotra (IND),bye
2616,89,Final,[5] Ryosei Kobayashi (JPN) bt [3] Addeen Idrakie (MAS),"11-8, 12-10, 4-11, 11-5 (62m)"
2617,89,Semi-finals,[5] Ryosei Kobayashi (JPN) bt [1] Evan Williams (NZL),"11-8, 11-7, 11-5 (31m)"
2618,89,Semi-finals,[3] Addeen Idrakie (MAS) bt [2] Mohd Syafiq Kamal (MAS),"12-10, 11-9, 11-8 (45m)"
2619,89,Quarter-finals,[1] Evan Williams (NZL) bt [8] Thomas Calvert (AUS),"11-8, 11-7, 11-5 (31m)"
2620,89,Quarter-finals,[5] Ryosei Kobayashi (JPN) bt [4] Angus Gillams (SCO),"12-10, 11-3, 11-6 (33m)"
2621,89,Quarter-finals,[3] Addeen Idrakie (MAS) bt Bryan Lim Tze Kang (MAS),"5-11, 11-4, 11-4, 7-11, 11-4 (46m)"
2622,89,Quarter-finals,[2] Mohd Syafiq Kamal (MAS) bt [7] Nicholas Calvert (AUS),"11-9, 9-11, 11-6, 11-3 (38m)"
2623,89,2nd round,[1] Evan Williams (NZL) bt Zac Millar (NZL),"11-4, 11-5, 11-5 (26m)"
2624,89,2nd round,[8] Thomas Calvert (AUS) bt Atticus Kelly (USA),"11-9, 11-8, 13-11 (44m)"
2625,89,2nd round,[5] Ryosei Kobayashi (JPN) bt Joel Arscott (NZL),"11-5, 11-8, 11-8 (29m)"
2626,89,2nd round,[4] Angus Gillams (SCO) bt Rhys Dowling (AUS),"11-2, 11-4, 11-8 (18m)"
2627,89,2nd round,[3] Addeen Idrakie (MAS) bt Chang-Wook Woo (KOR),"11-9, 11-4, 11-6 (24m)"
